location,unemployment,count
Federal Republic of Nigeria,3.84999990463257,325
Kingdom of Saudi Arabia,5.26999998092651,14
Cross River State,,8
London,5.03999996185303,118
United States,5.78000020980835,593
Democratic Republic of the Congo,19.9599990844727,24
Central African Republic,4.48999977111816,145
Tel Aviv,,21
Europe,,174
Republic of South Africa,33.2900009155273,284
Alabama,5.78000020980835,1
Cape Town,,27
Southern Asia,,41
West Bengal,5.76999998092651,29
Republic of Angola,3.88000011444092,111
Name,12.6899995803833,1
Republic of France,8.3100004196167,24
Holland,3.58999991416931,2
Republic of the Philippines,3.52999997138977,7
San Juan,15.3599996566772,2
Mendocino Middle 1089-000 Dam,,32
Kingdom of the Netherlands,3.58999991416931,39
Utah,5.98999977111816,4
Holiday Inn York-Route 74 & Us 30,,1
Kingdom of Morocco,11.9200000762939,2
Circular Head,,7
Syrian Arab Republic,10.2799997329712,2
Creek County,,11
Republic of Zimbabwe,4.71999979019165,76
Republic of Sierra Leone,3.45000004768372,51
Republic of Côte d’Ivoire,,57
Victoria,5.92999982833862,6
Federal Republic of Germany,9.77999973297119,15
State of Israel,13.5100002288818,2
Amsterdam,,18
Berlin,9.77999973297119,1
February,,1
Jordan and Gulf Bank,,2
Federated States of Micronesia,,9
Republic of Benin,0.730000019073486,43
Ikoyi One Ward,,3
Republic of Iraq,9.0600004196167,91
Baghdad,9.0600004196167,11
Kingdom of Spain,11.2799997329712,16
Madrid,11.2799997329712,7
Republic of Ghana,7.34000015258789,58
Jubb al Aswad,,1
Manila,,7
Gorgol,10.0,1
Signature Inn,,2
Union Bank and Trust Company (historical),,4
Eswatini,26.3899993896484,37
People’s Democratic Republic of Algeria,23.7199993133545,4
New York,5.98999977111816,29
Republic of Kenya,2.9300000667572,28
People’s Republic of China,4.59999990463257,19
Republic of Liberia,2.32999992370605,11
North America,,3
Ivory,,61
Embassy of the United States of America,,8
JP NAGAR 2ND PHASE,,1
Venus,,1
Abidjan,,21
Switzerland,4.11999988555908,30
United States Virgin Islands,,8
Apese Victoria Island Extension Ward,,5
New Zealand,4.75,11
Chak Fourty-three Jhang Branch,,1
Lebanon,8.01000022888184,16
Street Road,,1
Zaire,3.88000011444092,3
Islamic Republic of Iran,11.539999961853,5
Nice,15.1999998092651,1
Johannesburg,,19
Republic of Trinidad and Tobago,3.72000002861023,11
Republic of Korea,2.99000000953674,17
Chaani Kubwa,,2
Illinois,5.98999977111816,15
United Arab Emirates,2.71000003814697,12
Union of the Comoros,4.6100001335144,3
Richmond Avenue Baptist Church,,2
Republic of Bulgaria,13.7299995422363,44
Saddam Hussein Village,,20
South America,,19
Republic of Tunisia,14.5100002288818,2
Hotel Cottage Yes Please,,2
Bulgarian Black Sea Coast,,2
Amphoe Nong Hi,,1
Bénin,0.730000019073486,2
Malaysia,3.60999989509583,24
Calabar,3.52999997138977,3
Dollars Colony,,4
Arab Bank Ltd.,,1
Kunde,,1
Jordan Kuwait Bank,,2
Garden Avenue,,1
Ban Sadam,,1
All Saints,,1
Thus,,1
Hill Top,,1
Commonwealth of The Bahamas,10.1999998092651,2
United Kingdom of Great Britain and Northern Ireland,4.59000015258789,61
Hong Kong,6.73999977111816,62
Thirty by Thirty Dam,,1
Medina Seringe Mass,,3
Look,,1
Konan-shi,,1
Atlantic Ocean,,10
Rainbow City,,13
Republic of the Sudan,15.3999996185303,24
Republic of Haiti,13.0600004196167,1
Port-au-Prince,,1
Western Visayas,3.54999995231628,1
Lagos,3.80999994277954,2
Nairobi,2.91000008583069,4
Plateau Department,,5
Republic of India,5.71999979019165,14
Kingdom of Lesotho,31.7700004577637,4
Rhodesia,,2
Buy,10.3000001907349,2
Jamaica,11.4399995803833,1
Russian Federation,7.76000022888184,34
Namur,7.3600001335144,1
Dorowa Mining Lease,,5
Hod HaSharon,,5
Dakar,7.78999996185303,9
Republic of Senegal,7.78999996185303,72
Montmartre No. 126,,1
Dublin,4.48999977111816,1
Blue Earth County,,2
Atlantic County,,1
Pretoria,,6
State of Kuwait,1.70000004768372,7
Bar,30.5,1
Region 5,,1
Finally Farm,,1
England,4.59000015258789,16
Kingdom of Sweden,6.69000005722046,1
Cotonou,,1
Seoul,3.70000004768372,4
Gambia,9.5,2
Zheleznogorsk,,1
Republic of Singapore,5.84000015258789,8
Kingdom of Thailand,1.50999999046326,70
Puerto Rico,10.3100004196167,2
Commonwealth of Australia,,6
Middle East,,18
Republic of Indonesia,7.94999980926514,9
South Eastern Asia,,1
Masākin Mişr liţ Ţayarān,,6
Casino de la Unión (Kilómetro 136),,1
After the Roundup Historical Marker,,1
Valea Lungă Alba Romania,,2
Solomon Islands,2.04999995231628,1
Avachinskaya Guba,,2
Urbanización El Club,,1
Nova Scotia,6.76000022888184,3
11 North-Victoria Road-FM 493 Colonia,,1
Hope Pastures/ UTECH,,27
Boulogne-sur-Mer,,4
Republic of Cuba,1.95000004768372,2
Southend 200,,1
Taiwan,,1
Alaska,5.07999992370605,35
Jos,9.07999992370605,1
Kout Narin BP Parish,,5
Dominican Republic,6.59000015258789,2
Republic of Rwanda,,2
Extend A Suites Meridian Ms,,1
Town of Bridgewater,,1
Diary Circle,,1
Kampala,1.89999997615814,1
Cocoa Beach,,19
Mexico,3.55999994277954,2
Town of Oak Valley,,1
Corpus Christi,,1
Lower Saxony,,2
Mendes,,2
Trieste,7.73000001907349,1
British Columbia,6.76000022888184,1
Togolese Republic,4.3600001335144,1
Palestine,20.0200004577637,4
Garden City,,3
Patrick Fogarty Catholic Secondary School,,2
Holiday Inn Express Evansville-North I-64 & Us 41,,1
Sydney Central Business District,,2
El Hadji,,1
Canada,6.76000022888184,10
Kish Island International Airport,,1
Alderney Airport,,2
Moscow Oblast,,2
South London,,1
Beijing,4.5,3
North Darfur,,2
Tanana,2.61999988555908,1
Fort Worth,,2
Paris,8.48999977111816,3
West Bank,,1
Frankfurt am Main,,1
Amazon,9.56999969482422,1
Bosnia and Herzegovina,30.3999996185303,6
Monrovia,,1
Mashonaland West Province,,2
Edgware,,2
Atlanta,,2
Republic of Namibia,21.9799995422363,1
Abuja,3.76999998092651,2
Dr Kenneth Kaunda District Municipality,,1
Rock West African Methodist Episcopal Church,,3
Bangkok,1.35000002384186,2
Beechwood Avenue,,2
General Accounting Office,,7
Madīnat as Sādis min Uktūbar,,1
Provincia General José Ballivián,,1
Republic of Mali,10.7200002670288,1
Mason County,,1
Manchester,5.34999990463257,5
Japan,4.09999990463257,5
Piya,,1
Le Hasard,,1
Sterling County,,4
Funns Branch School (historical),,1
Accra,4.6399998664856,2
Scotch Plains,,1
Central Africa,4.26999998092651,4
Frome,,2
Cargo Fleet,,2
Munich,,3
Libya,18.7999992370605,4
Scotland County,,4
Federal Democratic Republic of Ethiopia,2.39000010490417,1
Kennedy Intranational Airport,,1
Bull Bay/ Seven Mile,,1
Gulf County,,1
Florence,,1
Sudanese American Presbyterian Church,,1
Ashanti Region,,4
Hotel Phuket Island View,,2
Progress Wildlife Management Unit,,1
Bouaké,,1
Assembly of God Settlement,,1
New Hampshire,4.61999988555908,1
New Orleans,,1
Any-Martin-Rieux,,1
Annoual,,1
Regal Hongkong Hotel,,2
Federal Republic of Yugoslavia,,1
K5 Position (historical),,1
Republic of El Salvador,6.57000017166138,2
Cote d'Or,5.6100001335144,10
Chiang Rai,1.22000002861023,1
Republic of Equatorial Guinea,8.26000022888184,3
Kilómetro Veintisiete más 500,,4
Heliport Of Kaohsiung Emergency Operations Center,,1
Kaduna,3.69000005722046,1
Marion Bridge Road,,2
Seattle,,1
Nevada Test Site Area 400,,1
Beirut,,1
Western Command Head Office,,1
Ibis Osnabrueck,,1
Charleston,,1
West Virginia,4.61999988555908,1
Park 800 Industrial Park,,1
"Rorschacherberg, Swissair",,1
Midland County,,1
Habib Bank Limited,,1
Teurthéville-Hague,,1
Enterprise,,1
Town of Farmer,,1
Western Union Building,,2
Gujarat International Finance Tec-City,,2
Sturtevant,,1
Regents Park,,2
Channel Islands,,2
Presbyterian Church of East Africa High School and Pre-School,,2
