Date,Count
2002-10-31,4
2002-11-01,1
2002-11-02,2
2002-11-03,1
2002-11-04,1
2002-11-05,1
2001-11-06,1
2002-11-08,2
2002-11-11,1
2001-11-13,1
2002-11-14,1
2002-11-15,2
2002-11-16,2
2002-11-17,1
2002-11-18,1
2002-11-20,2
2002-11-21,2
2002-11-22,3
2002-11-23,1
2002-11-25,2
2002-11-26,2
2002-11-27,1
2002-11-28,1
2002-11-30,1
2002-12-03,1
2002-12-04,1
2002-12-05,2
2002-12-06,3
2002-12-09,2
2002-12-11,2
2002-12-13,1
2002-12-12,1
2002-12-17,1
2002-12-24,1
2002-12-28,2
2002-12-30,1
2003-01-01,1
2000-01-04,1
1999-01-01,3
1999-01-02,1
2003-01-15,3
2003-01-16,4
2003-01-17,6
2003-01-18,2
2003-01-19,1
2003-01-20,3
2003-01-21,2
2003-01-23,1
2003-01-25,2
2001-04-09,1
2003-01-28,4
2003-01-29,1
2003-01-31,1
2003-02-01,2
2001-04-14,2
2003-02-02,1
2003-02-03,1
2003-02-04,1
2003-02-06,3
2001-04-20,1
2003-02-08,2
2003-02-09,1
2003-02-11,2
2003-02-10,2
2003-02-12,3
2003-02-13,1
2003-02-14,1
2003-02-16,1
2001-05-02,2
2003-02-20,6
2003-02-22,4
2003-02-23,1
2003-02-24,3
2003-02-27,4
2003-02-28,1
2003-03-02,2
2003-03-03,5
2003-03-04,1
2001-01-01,5
2003-03-05,1
2003-03-07,1
2003-03-09,2
2003-03-10,1
2003-10-04,7
2003-03-12,5
2003-03-13,1
2003-03-21,1
2003-03-22,1
2002-10-04,1
2003-03-25,1
2003-03-27,2
2003-03-29,1
2003-03-30,3
2003-03-31,1
2003-04-02,2
2003-04-03,2
2003-04-04,1
2003-04-05,2
2003-04-07,3
2003-04-15,2
2003-04-16,1
2003-04-17,1
2003-04-18,3
2001-04-18,1
2003-04-23,2
2003-04-24,1
2003-04-25,1
2003-04-28,2
2003-04-29,1
2003-04-30,2
2003-05-01,3
2003-05-02,3
2003-05-05,1
2003-05-06,4
2003-05-08,1
2003-05-09,2
2003-06-07,3
2003-05-12,1
2003-05-13,1
2003-05-14,5
2003-05-16,3
2003-05-17,1
2003-05-18,2
2001-05-10,2
2003-05-19,3
2003-05-22,4
2003-05-23,5
2003-05-24,2
2000-03-29,2
2003-05-27,2
2003-05-28,1
2003-05-30,1
2003-06-02,5
2003-05-31,2
2003-06-03,3
2003-06-04,1
2003-06-05,1
1980-01-04,4
2003-06-09,2
2003-06-10,3
2003-06-11,2
2003-06-13,4
2003-06-14,5
2003-06-16,5
2003-06-20,1
2003-06-23,1
2003-06-24,4
2003-06-27,1
2003-06-28,2
2003-06-29,3
2003-06-30,3
2003-07-01,1
2003-07-02,2
2003-07-03,1
2003-07-05,2
2003-07-09,3
2003-07-10,2
2003-07-14,3
2003-07-16,1
2003-07-17,3
2003-07-18,1
2003-07-20,1
2003-07-22,7
2003-07-23,1
2003-07-24,4
2003-07-25,1
2003-07-27,1
2003-07-29,4
2000-07-29,1
2003-07-30,1
2003-07-31,1
2003-08-01,3
2003-08-02,3
2003-08-03,7
2003-08-04,3
2001-06-09,1
2003-08-05,3
2003-08-07,3
2003-08-08,2
2003-08-11,4
2003-08-12,3
2003-08-13,2
2003-08-14,1
2003-08-17,2
2003-08-16,1
2003-08-21,1
2003-08-20,1
2003-08-22,2
2003-08-23,2
2003-08-25,2
2003-08-26,1
2003-08-27,5
2003-08-29,1
2003-09-01,1
2003-09-02,2
2003-09-03,2
2003-09-04,6
1980-01-15,1
2003-09-05,1
2003-09-08,1
2003-09-09,1
2003-09-10,2
2000-01-01,1
2003-09-12,2
2003-09-13,1
2003-09-15,1
2003-09-14,2
2003-09-17,1
2003-09-18,1
2003-09-19,2
2003-09-20,4
2003-09-23,3
2003-09-24,1
2003-09-25,2
2003-09-26,3
2003-09-27,1
2003-09-28,2
2003-09-29,1
2003-09-30,1
2003-10-01,2
2003-10-02,2
2003-10-03,1
2003-10-06,1
2002-09-20,1
2003-10-07,4
2003-10-08,1
2003-10-09,1
2003-10-10,3
2003-10-11,2
2003-10-12,3
2003-10-13,4
2003-10-14,1
2003-10-15,1
2003-10-16,4
2003-10-17,4
2003-10-18,1
2003-10-19,2
2003-10-20,5
2003-10-21,9
2002-10-06,1
2003-10-22,2
2003-10-23,4
2002-05-15,1
2003-10-24,5
2003-10-25,1
2003-10-26,2
2003-10-27,3
2003-10-28,4
2003-10-30,2
2003-10-31,5
2003-11-03,1
2003-11-04,2
2003-11-05,1
2003-11-06,8
2003-11-08,1
2003-11-09,1
2000-05-11,1
2003-11-12,2
2003-11-13,2
2003-11-14,2
2003-11-17,4
2003-11-19,2
1980-11-20,3
2003-11-21,1
2003-11-22,1
2003-11-24,4
2003-11-25,6
2003-11-26,4
2003-11-27,1
2003-11-28,1
2003-11-30,5
2003-12-01,3
2003-12-02,1
2003-12-03,1
2003-12-04,2
2003-12-05,1
2003-12-07,1
2003-12-10,3
2003-12-13,3
2003-12-14,1
2003-12-15,6
2003-12-16,3
2003-12-17,2
2003-12-21,1
2003-12-22,2
2003-12-23,1
2003-12-24,2
2003-12-29,2
2004-01-04,6
2004-01-05,1
2004-01-06,5
2004-01-07,4
2004-01-08,2
2004-01-09,4
2004-01-10,4
2004-01-13,2
2004-01-14,5
2004-01-16,1
2004-01-17,3
2004-01-19,6
2004-01-03,1
2004-01-20,2
2004-01-21,3
2004-01-22,2
2004-01-23,2
2004-01-24,1
2004-01-25,3
2004-01-26,1
2004-01-27,1
2004-01-29,2
2004-01-28,5
2004-01-30,2
2004-02-02,1
2004-02-03,1
2004-02-04,1
2004-02-05,3
2004-02-06,2
2004-02-07,1
2004-02-08,2
2004-02-10,2
2004-02-11,1
2004-02-12,5
2004-02-13,3
2004-02-16,2
2001-01-06,1
2004-02-18,2
2004-02-19,3
2004-02-20,2
2004-02-21,1
2004-02-22,1
2004-02-23,3
2004-02-24,4
2004-02-25,1
2004-02-26,2
2004-02-28,1
2004-02-29,1
2004-03-01,1
2002-03-03,2
2004-03-03,1
2004-03-05,1
2004-02-15,1
2004-03-08,1
2004-03-09,2
2004-03-11,1
1990-01-01,1
2002-03-13,1
2004-03-14,1
2004-03-15,4
2004-03-16,8
2004-03-18,4
2004-03-17,3
2004-03-20,1
2004-03-22,3
2004-03-23,2
2004-03-24,1
2004-03-26,1
2004-03-27,2
2004-03-29,1
2004-03-30,1
2004-03-31,3
2004-04-01,3
2004-04-03,1
2004-04-05,1
2004-04-06,2
2004-04-07,1
2004-04-08,2
1990-01-02,1
2004-04-12,1
2004-04-13,2
2004-04-14,5
2004-04-15,1
2004-04-20,2
2004-04-22,1
2004-04-24,1
2004-04-26,1
2004-04-28,2
2004-04-29,1
